Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Aba Nigeria Temple,5.14764400,7.35671900,5°8'51"N,7°21'24"E,Okpu-Umuoba Road Off Aba-Owerri Road at Union Bank,Aba,Abia State,,Nigeria,(+234) 80-3903-4804
Abidjan Côte d'Ivoire Temple,5.36230700,-3.97686500,5°21'44"N,3°58'36"W,,Abidjan,,,Cote d'Ivoire,
Accra Ghana Temple,5.56749000,-0.19370600,5°34'2"N,-0°11'37"E,57 Independence Avenue North Ridge PMB CT 209 Cantonments,Accra,,,Ghana,(+233) 302-650-123
Adelaide Australia Temple,-34.89247300,138.63500200,34°53'32"S,138°38'6"E,53-59 Lower Portrush Road,Marden,South Australia,5070,Australia,(+61) 8-8363-8000
Alabang Philippines Temple,14.41291300,121.03783800,14°24'46"N,121°2'16"E,Filinvest Avenue and Corporate Avenue Alabang,Muntinlupa,Metro Manila,,Philippines,
Albuquerque New Mexico Temple,35.16768400,-106.52530100,35°10'3"N,106°31'31"W,10301 San Francisco Drive NE,Albuquerque,New Mexico,87122-3437,United States,(+1) 505-822-5110
Anchorage Alaska Temple,61.10162700,-149.84051200,61°6'5"N,149°50'25"W,13161 Brayton Drive,Anchorage,Alaska,99516,United States,(+1) 907-348-7890
Antofagasta Chile Temple,-23.57189100,-70.39452500,23°34'18"S,70°23'40"W,Avenida de Las Palmeras 44,Antofagasta,,,Chile,
Apia Samoa Temple,-13.83806400,-171.78303400,13°50'17"S,171°46'58"W,Vaitele Street,Pesega,Apia,,Samoa,(+685) 64-230
Arequipa Peru Temple,-16.37520300,-71.53847700,16°22'30"S,71°32'18"W,Avenida Cusco 380 Carmen Alto,Arequipa,Arequipa,,Peru,(+51) 54-640-300
Asunción Paraguay Temple,-25.28791600,-57.60286900,25°17'16"S,57°36'10"W,Esquina Brasilia y España,Asunción,,1441,Paraguay,(+595) 21-216-92
Atlanta Georgia Temple,33.93189600,-84.36239400,33°55'54"N,84°21'44"W,6450 Barfield Road NE,Sandy Springs,Georgia,30328-4283,United States,(+1) 770-393-3698
Auckland New Zealand Temple,-36.99322700,174.89019100,36°59'35"S,174°53'24"E,Redoubt Road Manukau,Auckland,,,New Zealand,
Bahía Blanca Argentina Temple,-38.69117000,-62.23593700,38°41'28"S,62°14'9"W,,Bahia Blanca,,,Argentina,
Bangkok Thailand Temple,13.74949100,100.56252700,13°44'58"N,100°33'45"E,1645/6 New Petchaburi Road Makkasan Ratchathewi,Bangkok,,10400,Thailand,
Barranquilla Colombia Temple,11.01679800,-74.86261000,11°1'0"N,74°51'45"W,Carrera 30 No. 1-1481 Villa Campestre,Barranquilla,Atlántico,,Colombia,(+57) 5-310-0200
Baton Rouge Louisiana Temple,30.36266400,-91.10838500,30°21'45"N,91°6'30"W,10339 Highland Road,Baton Rouge,Louisiana,70810,United States,(+1) 225-769-1197
Belém Brazil Temple,-1.38724200,-48.45989400,1°23'14"S,48°27'35"W,Av. Centenário Val de Caes,Belém,Pará,,Brazil,
Bengaluru India Temple,12.99209600,77.70471400,12°59'31"N,77°42'16"E,2-B Whitefield Main Road Garudachar Palya Mahadevapura,Bengaluru,Karnataka,560048,India,
Bentonville Arkansas Temple,36.38486700,-94.18131900,36°23'5"N,94°10'52"W,1101 McCollum Drive,Bentonville,Arkansas,,United States,
Bern Switzerland Temple,47.00219200,7.45824400,47°0'7"N,7°27'29"E,Tempelstrasse 2,Zollikofen,Bern,CH-3052,Switzerland,(+41) 31-915-5252
Billings Montana Temple,45.80050500,-108.63939000,45°48'1"N,108°38'21"W,3100 Rim Point Drive,Billings,Montana,59106-1386,United States,(+1) 406-655-0607
Birmingham Alabama Temple,33.67462300,-86.82123600,33°40'28"N,86°49'16"W,1927 Mount Olive Boulevard,Gardendale,Alabama,35071,United States,(+1) 205-631-3444
Bismarck North Dakota Temple,46.83888900,-100.81397900,46°50'20"N,100°48'50"W,2930 Cody Drive,Bismarck,North Dakota,58503,United States,(+1) 701-258-9590
Bogotá Colombia Temple,4.70780100,-74.05624700,4°42'28"N,74°3'22"W,Carrera 46 no. 127?45,Bogotá,Distrito,Capital,Colombia,(+57) 1-625-8000
Boise Idaho Temple,43.59352300,-116.27503400,43°35'36"N,116°16'30"W,1211 South Cole Road,Boise,Idaho,83709-1871,United States,(+1) 208-322-4422
Boston Massachusetts Temple,42.41200200,-71.18809100,42°24'43"N,71°11'17"W,100 Hinckley Way (formerly 86 Frontage Road),Belmont,Massachusetts,02478-2135,United States,(+1) 617-993-9993
Bountiful Utah Temple,40.88285300,-111.84681200,40°52'58"N,111°50'48"W,640 South Bountiful Boulevard,Bountiful,Utah,84010-1394,United States,(+1) 801-296-2100
Brasília Brazil Temple,-15.74783500,-47.88094500,15°44'52"S,47°52'51"W,GA/Norte Quadra 612 ? Lote ,Brasília,Distrito Federal,,Brazil,
Brigham City Utah Temple,41.50537600,-112.01659200,41°30'19"N,112°0'59"W,250 South Main Street,Brigham City,Utah,84302-2120,United States,(+1) 435-695-2170
Brisbane Australia Temple,-27.48088600,153.03384100,27°28'51"S,153°2'1"E,200 River Terrace,Kangaroo Point,Queensland,4169,Australia,(+61) 7-3240-3600
Buenos Aires Argentina Temple,-34.72928600,-58.51822500,34°43'45"S,58°31'5"W,Autopista Richieri y Puente 13 Ciudad Evita,Buenos Aires,,B1778 DUA,Argentina,(+54) 11-4693-9700
Calgary Alberta Temple,51.14086100,-114.23330000,51°8'27"N,114°13'59"W,9802 Rocky Ridge Road NW,Calgary,Alberta,T3G 5J7,Canada,(+1) 403-241-4250
Campinas Brazil Temple,-22.89653400,-47.00113300,22°53'47"S,47°0'4"W,Rua James Esdras Faust 400 Notre Dame,Campinas,São Paulo,13092-820,Brazil,(+55) 19-2102-5800
Caracas Venezuela Temple,10.47084900,-66.83729300,10°28'15"N,66°50'14"W,Avenida C con Calle C-1 Urbanización Caurimare,Caracas,Distrito Federal,1062-A,Venezuela,(+58) 212-981-1873
Cardston Alberta Temple,49.19835000,-113.30939400,49°11'54"N,113°18'33"W,348 3rd Street West,Cardston,Alberta,T0K 0K0,Canada,(+1) 403-653-3552
Cebu City Philippines Temple,10.32765900,123.89829900,10°19'39"N,123°53'53"E,Gorordo Avenue Barangay Lahug,Cebu City,Cebu,6000,Philippines,(+63) 32-230-1207
Cedar City Utah Temple,37.67173400,-113.09627100,37°40'18"N,113°5'46"W,280 S Cove Dr,Cedar City,Utah, 84720,United States,(+1) 435-572-4150
Chicago Illinois Temple,42.08682900,-87.85950100,42°5'12"N,87°51'34"W,4151 West Lake Avenue,Glenview,Illinois,60025-1240,United States,(+1) 847-299-6500
Ciudad Juárez Mexico Temple,31.73626900,-106.46320900,31°44'10"N,106°27'47"W,Calle Paraguay #290 Esquina José Borunda Colonia Partido Romero,Ciudad Juárez,Chihuahua,32177,Mexico,(+52) 656-611-5146
Cobán Guatemala Temple,15.45907700,-90.36516600,15°27'32"N,90°21'54"W,4a. Avenida 4-48 Zona 8 Barrio Bella Vista,Cobán,Alta Verapaz,,Guatemala,
Cochabamba Bolivia Temple,-17.36364400,-66.14764400,17°21'49"S,66°8'51"W,Avenida Melchor Urquidi 1500 Alto Queru Queru,Cochabamba,Cochabamba,,Bolivia,(+591) 4-429-3161
