SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActivationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator,IcaoIdentifier,MinimumOperationalNetwork
50009.*A,AIRPORT,'ADK,4/22/21,AAL,NONE,AK,ALASKA,ALEUTIANS WEST,AK,ADAK ISLAND,ADAK,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,1500 ANTON LARSON,"KODIAK, AK 99615-2506",    907-465-1784,INNOCENT DUSHKIN,P O BOX 1952,"ADAK, AK 99546",    907-592-8026,51-53-00.8980N,186780.8980N,176-38-32.9360W,635912.9360W,E,19,S,07E,2000,,W ALEUTIAN ISLS,0,W,,ZAN,ZAN,ANCHORAGE,ZAP,ZAP,ANCHORAGE OCEANIC,N,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,ADK,Y,4/1/49,O,I B S 04/2005,N,NO OBJECTION,N,N,N,Y,F,F,7272019,1081991,A1,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,122.9,Y,CG,,,0,0,0,0,0,0,0,104,,0,0,100,28,6/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y,PADK,N
50034.*A,AIRPORT,'ANC,4/22/21,AAL,NONE,AK,ALASKA,ANCHORAGE,AK,ANCHORAGE,TED STEVENS ANCHORAGE INTL,PU,PU,STATE OF ALASKA DOTPF,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2600,JIM SZCZESNIAK,BOX 196960,"ANCHORAGE, AK 99519-6960",    907-266-2600,61-10-26.7050N,220226.7050N,149-59-53.2950W,539993.2950W,E,151,S,16E,2020,,ANCHORAGE,4,SW,4608,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,ANC,Y,11/1/51,O,I E S 04/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,6112020,,100  100LLA    A1,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,Y,,11,67,16,15,0,0,0,98395,,76301,8998,76206,2061,4/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L,PANC,N
50054.3*A,AIRPORT,'BRW,4/22/21,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,BARROW,WILEY POST-WILL ROGERS MEML,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99701",    907-451-2206,JOHN OLSEN,PO BOX 367,"UTQIAGVIK, AK 99723",    907-852-6199,71-17-05.5000N,256625.5000N,156-46-06.9000W,564366.9000W,E,48,S,19E,2010,,POINT BARROW,0,SE,,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,BRW,BARROW,907-852-2511,LC852-2511,FAI,FAIRBANKS,1-866-248-6516,BRW,Y,,O,I B S 03/2005,NGSY,NO OBJECTION,N,N,N,Y,F,F,7192019,,100LLA1,MINOR,MINOR,NONE,NONE,SEE RMK,SEE RMK,N,,123.6,Y,CG,N,,3,1,1,3,,,,1460,,6000,3000,1500,50,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L,PABR,N
50061.1*A,AIRPORT,'BET,4/22/21,AAL,NONE,AK,ALASKA,BETHEL,AK,BETHEL,BETHEL,PU,PU,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0749,JOSEPH LARAUX,BOX 505,"BETHEL, AK 99559",    907-543-2498,60-46-42.8000N,218802.8000N,161-50-13.8000W,582613.8000W,E,128,S,11E,2020,,MC GRATH,3,SW,1056,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,ENA,KENAI,907-283-7211,1-866-864-1737,,,,BET,Y,11/1/58,O,I B S 04/2005,N,NO OBJECTION,,,,,F,F,3192020,,100  100LLA    A1,MINOR,MINOR,,,SEE RMK,SS-SR,Y,,118.7,Y,CG,,,96,7,,7,,2,,5195,,65857,7140,42438,1370,2/28/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CARGO,Y-L,PABE,N
50114.*A,AIRPORT,'CDB,4/22/21,AAL,NONE,AK,ALASKA,ALEUTIANS EAST,AK,COLD BAY,COLD BAY,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,P.O BOX 112506,"JUNEAU, AK 99811-2506",  (907) 465-1788,HAROLD KREMER,BOX 97,"COLD BAY, AK 99571",    907-532-5000,55-12-21.3000N,198741.3000N,162-43-34.5000W,585814.5000W,E,99,S,12E,2015,,COLD BAY,0,N,2213,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,CDB,COLD BAY,907-532-2466,1-800-478-7250,ENA,KENAI,1-866-864-1737,CDB,Y,4/1/49,O,I B S 04/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,10242019,,100LLA,NONE,NONE,NONE,,SEE RMK,SEE RMK,N,,123.6,Y,CG,N,,2,1,0,0,0,0,0,2690,,5750,145,45,460,10/24/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y,PACD,N
50124.*A,AIRPORT,'CDV,4/22/21,AAL,NONE,AK,ALASKA,VALDEZ-CORDOVA,AK,CORDOVA,MERLE K (MUDHOLE) SMITH,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER ROAD,"FAIRBANKS, AK 99709",    907-451-5250,ROB MATTSON,BOX 598,"CORDOVA, AK 99574",    907-424-3202,60-29-30.4000N,217770.4000N,145-28-39.2000W,523719.2000W,E,53,S,19E,2015,,ANCHORAGE,11,SE,2959,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,CDV,Y,1/1/49,O,I B S 04/2005,NGPSY,NO OBJECTION,N,N,N,Y,F,F,6142018,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,N,,27,,,2,,,,2540,,4100,4100,1855,1010,5/31/17,NGS,00:00.0,NGS,00:00.0,,TIE,CARGO,Y-L,PACV,N
50140.7*A,AIRPORT,'SCC,4/22/21,AAL,NONE,AK,ALASKA,NORTH SLOPE,AK,DEADHORSE,DEADHORSE,PU,PU,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",    907-451-2200,TIM PARAULT,POUCH 340002,"PRUDHOE BAY, AK 99734",    907-659-2553,70-11-41.1148N,252701.1148N,148-27-54.5935W,534474.5935W,E,67,S,17E,2020,,POINT BARROW,0,SE,6506,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,SCC,DEADHORSE,907-659-2505,LC659-2401,FAI,FAIRBANKS,1-866-248-6516,SCC,Y,4/1/70,O,I B S 03/2005,NGY,NO OBJECTION,N,N,N,Y,F,F,8222019,,100  A,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,123,123.6,Y,CG,N,,3,2,,5,,,,5616,,3432,9126,3000,150,7/31/19,FAA,00:00.0,3RD PARTY SURVEY,00:00.0,,,CARGO,Y-L,PASC,N
50153.*A,AIRPORT,'DLG,4/22/21,AAL,NONE,AK,ALASKA,DILLINGHAM,AK,DILLINGHAM,DILLINGHAM,PU,PU,ALASKA DOT&PF CENTRAL REGION,P O BOX 196900,"ANCHORAGE, AK 99519-6900",    907-269-0749,JON TAYLOR,BOX 250,"DILLINGHAM, AK 99576",    907-842-5511,59-02-40.8000N,212560.8000N,158-30-19.8000W,570619.8000W,E,82,S,15E,2010,,KODIAK,2,W,620,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,DLG,DILLINGHAM,907-842-5275,LC842-5275,ENA,KENAI,1-866-864-1737,DLG,Y,11/1/50,O,I A S 05/1973,NGSY,NO OBJECTION,N,N,N,Y,F,F,4192019,7191994,100LLA,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,123.6,Y,CG,,,52,6,,1,,,,1323,,36489,2083,10986,11,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,TIE,CARGO,Y,PADL,N
50219.*A,AIRPORT,'FAI,4/22/21,AAL,NONE,AK,ALASKA,FAIRBANKS NORTH STAR,AK,FAIRBANKS,FAIRBANKS INTL,PU,PU,STATE OF ALASKA DOTPF,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,ANGIE SPEAR,6450 AIRPORT WAY - SUITE 1,"FAIRBANKS, AK 99709",    907-474-2500,64-48-54.4000N,233334.4000N,147-51-23.2000W,532283.2000W,E,439,S,18E,2020,,FAIRBANKS,3,SW,3470,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,Y,FAI,FAIRBANKS,907-474-0788,1-866-248-6516,,,,FAI,Y,6/1/51,O,I C S 03/2005,NGSY,NO OBJECTION,N,Y,N,Y,F,F,5232019,,100LLA1,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,518,44,5,2,,,,10894,,27611,34296,37685,3313,12/31/18,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,HGR,CARGO,Y-L,PAFA,N
50284.*A,AIRPORT,'GST,4/22/21,AAL,NONE,AK,ALASKA,ANGOON,AK,GUSTAVUS,GUSTAVUS,PU,PU,ALASKA DOT&PF SOUTHCOAST REGION,6860 GLACIER HWY,"JUNEAU, AK 99801-7999",    907-465-1786,JEFF JARVIS,PO BOX 239,"GUSTAVUS, AK 99826",    907-697-2251,58-25-31.0000N,210331.0000N,135-42-26.7000W,488546.7000W,E,36,S,20E,2015,,JUNEAU,0,NE,1821,ZAN,ZAN,ANCHORAGE,ZAN,ZAN,ANCHORAGE,N,JNU,JUNEAU,907-586-7380,1-866-297-2236,,,,GST,Y,1/1/49,O,I A S 03/2005,NGPY,NO OBJECTION,N,N,N,Y,F,F,5212020,5131983,100LLA,MAJOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,,122.5,Y,CG,N,,15,1,0,1,0,,0,200,,3300,200,2000,50,4/30/19,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,,,Y,PAGS,N
